City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Carnarvon,AU,69.8,clear sky,-24.87,113.63,Hospitality Carnarvon
18,Rikitea,PF,74.57,overcast clouds,-23.12,-134.97,Pension Maro'i
34,Mar Del Plata,AR,69.01,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
35,Yanam,IN,71.6,moderate rain,16.73,82.22,The Regency Hotel
39,Victoria,HK,73.99,clear sky,22.29,114.16,Mini Hotel Central
41,Front Royal,US,64.0,overcast clouds,38.92,-78.19,Hampton Inn Front Royal
45,San Patricio,US,73.4,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
46,Hermanus,ZA,66.99,few clouds,-34.42,19.23,Misty Waves Boutique Hotel
48,Asyut,EG,68.0,clear sky,27.18,31.18,Florence Hotel Assiut
51,Airai,TL,63.03,light rain,-8.93,125.41,Juvinal Martin
56,Kaeo,NZ,61.0,scattered clouds,-35.1,173.78,Bushido Lodge
60,Havelock,US,72.0,overcast clouds,34.88,-76.9,Sherwood Motel
62,Nelson Bay,AU,70.0,overcast clouds,-32.72,152.15,Mantra Nelson Bay
64,Azangaro,PE,62.6,scattered clouds,-14.92,-70.22,Hotel Miraflores Azangaro
66,Hilo,US,71.6,light rain,19.73,-155.09,Hilo Hawaiian Hotel
70,Ribeira Grande,PT,60.8,broken clouds,38.52,-28.7,Quinta da Meia Eira
79,Lata,PT,60.01,overcast clouds,40.16,-8.33,Casa Maquia
88,Saldanha,ZA,69.8,clear sky,-33.01,17.94,Blue Bay Lodge
92,Bredasdorp,ZA,66.2,broken clouds,-34.53,20.04,Bredasdorp Country Manor
94,Necochea,AR,66.99,clear sky,-38.55,-58.74,dyd -mar Hotel
95,Mandali,IQ,65.12,clear sky,33.75,45.55,بيت خالد امين
103,San Jeronimo,PE,64.8,broken clouds,-11.95,-75.28,Tuki Llajta Pueblo Bonito Eco Lodge
109,Rocha,UY,72.36,clear sky,-34.48,-54.33,Beleza Pura B&B
117,San Cristobal,VE,73.4,fog,7.77,-72.22,Pirineos
118,Naze,JP,69.8,few clouds,28.37,129.48,奄美ポートタワーホテル
119,Mao,ES,62.6,few clouds,39.89,4.27,ARTIEM Capri
125,Kapaa,US,73.4,moderate rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
127,Marzuq,YE,67.95,clear sky,14.4,46.47,
130,Las Palmas,ES,66.2,broken clouds,28.42,-14.01,Casa el Relajo
132,Vao,NC,73.58,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
134,Port Elizabeth,ZA,64.4,few clouds,-33.92,25.57,39 On Nile Guest House
135,Cape Town,ZA,66.2,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
145,Ponta Delgada,PT,60.8,broken clouds,37.73,-25.67,Vila Nova Hotel
146,Pingshan,CN,73.99,clear sky,22.99,114.71,Island Skylight Resort
147,Pisco,PE,64.4,overcast clouds,-13.7,-76.22,Hotel San Isidro Oficial
149,Umm Lajj,SA,74.77,clear sky,25.02,37.27,Moon light Furnished Units
151,Narnaund,IN,63.97,clear sky,29.22,76.15,Sandeep Dangi House.
