City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Carnarvon,AU,-24.87,113.63,69.8,88,0,23.04,clear sky
1,Kavieng,PG,-2.57,150.8,82.35,77,84,10.94,light rain
2,Ponta Do Sol,PT,32.67,-17.1,57.2,71,40,17.22,scattered clouds
3,Singaraja,ID,-8.11,115.09,80.11,78,100,7.09,overcast clouds
4,Anadyr,RU,64.75,177.48,6.8,84,0,8.95,clear sky
5,Norman Wells,CA,65.28,-126.83,10.4,72,75,5.82,broken clouds
6,Cururupu,BR,-1.83,-44.87,90.05,52,95,9.35,overcast clouds
7,Severo-Kurilsk,RU,50.68,156.12,27.86,88,91,28.43,overcast clouds
8,Hofn,IS,64.25,-15.21,35.6,80,20,23.04,few clouds
9,Iqaluit,CA,63.75,-68.51,12.2,72,75,10.29,light snow
10,Fortuna,US,40.6,-124.16,41.0,86,1,4.7,clear sky
11,Butaritari,KI,3.07,172.79,81.46,72,99,18.5,overcast clouds
12,Atuona,PF,-9.8,-139.03,77.04,74,48,15.03,scattered clouds
13,Hobart,AU,-42.88,147.33,51.8,71,90,4.7,overcast clouds
14,Kitgum,UG,3.28,32.89,75.81,67,99,4.23,light rain
15,Upernavik,GL,72.79,-56.15,9.01,94,100,0.25,light snow
16,Yellowknife,CA,62.46,-114.35,-2.2,84,75,4.7,light snow
17,Coihaique,CL,-45.58,-72.07,51.8,62,75,6.93,shower rain
18,Rikitea,PF,-23.12,-134.97,74.57,81,100,10.0,overcast clouds
19,Cockburn Town,TC,21.46,-71.14,78.8,74,75,13.87,broken clouds
20,Mana,GF,5.66,-53.78,83.68,73,49,8.99,scattered clouds
21,Cayenne,GF,4.93,-52.33,87.8,66,75,11.41,broken clouds
22,Jamestown,US,42.1,-79.24,51.01,100,90,17.22,mist
23,Albany,US,42.6,-73.97,53.01,88,100,5.48,moderate rain
24,North Platte,US,41.12,-100.77,37.99,80,1,3.36,clear sky
25,Pringsewu,ID,-5.36,104.97,75.24,85,100,4.74,overcast clouds
26,Denpasar,ID,-8.65,115.22,82.4,83,20,4.7,few clouds
27,Lavrentiya,RU,65.58,-171.0,25.07,91,85,5.3,overcast clouds
28,Ostrovnoy,RU,68.05,39.51,29.55,96,100,11.14,overcast clouds
29,Tuktoyaktuk,CA,69.45,-133.04,-5.8,83,5,11.41,clear sky
30,Karratha,AU,-20.74,116.85,77.83,78,0,8.68,clear sky
31,Alofi,NU,-19.06,-169.92,75.2,100,100,6.93,overcast clouds
32,Bethel,US,41.37,-73.41,59.0,93,90,12.75,overcast clouds
33,Mount Isa,AU,-20.73,139.5,82.4,24,1,5.82,clear sky
34,Mar Del Plata,AR,-38.0,-57.56,69.01,29,0,17.0,clear sky
35,Yanam,IN,16.73,82.22,71.6,94,90,11.41,moderate rain
36,Mahebourg,MU,-20.41,57.7,77.0,78,40,9.17,shower rain
37,Kamyshevatskaya,RU,46.41,37.96,41.68,76,24,4.81,few clouds
38,Ossora,RU,59.24,163.07,16.65,87,100,4.56,overcast clouds
39,Victoria,HK,22.29,114.16,73.99,83,0,1.99,clear sky
40,Punta Arenas,CL,-53.15,-70.92,53.6,54,75,29.97,broken clouds
41,Front Royal,US,38.92,-78.19,64.0,77,90,6.93,overcast clouds
