City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2020-11-23 21:33:00,-9.8,-139.03,77.97,75,4,13.87
1,Cape Town,ZA,2020-11-23 21:31:23,-33.93,18.42,61.0,87,75,13.87
2,Vaini,TO,2020-11-23 21:33:02,-21.2,-175.2,78.8,78,75,8.05
3,Mar Del Plata,AR,2020-11-23 21:31:28,-38.0,-57.56,68.0,82,75,13.87
4,Vaitape,PF,2020-11-23 21:42:32,-16.52,-151.75,81.88,75,67,9.42
5,Bom Jesus,BR,2020-11-23 21:42:32,-9.07,-44.36,75.63,83,36,3.65
6,Flinders,AU,2020-11-23 21:33:48,-34.58,150.86,66.99,78,50,3.0
7,Rikitea,PF,2020-11-23 21:32:46,-23.12,-134.97,73.76,62,98,2.21
8,Kapaa,US,2020-11-23 21:32:49,22.08,-159.32,80.6,69,75,18.34
9,Margate,GB,2020-11-23 21:32:47,51.38,1.39,48.99,85,6,3.0
10,Albany,US,2020-11-23 21:29:46,42.6,-73.97,39.99,77,7,1.99
11,Fort Nelson,CA,2020-11-23 21:30:02,58.81,-122.7,-0.4,84,75,0.4
12,Hermanus,ZA,2020-11-23 21:32:46,-34.42,19.23,62.01,68,55,5.99
13,Tashtagol,RU,2020-11-23 21:42:33,52.77,87.89,22.21,96,100,1.59
14,Cagliari,IT,2020-11-23 21:42:33,39.24,9.09,53.6,87,0,5.82
15,Ahipara,NZ,2020-11-23 21:32:55,-35.17,173.17,57.9,88,100,5.95
16,Hithadhoo,MV,2020-11-23 21:33:00,-0.6,73.08,81.68,76,100,10.69
17,Bredasdorp,ZA,2020-11-23 21:32:52,-34.53,20.04,60.8,59,77,13.87
18,Thompson,CA,2020-11-23 21:33:17,55.74,-97.86,6.8,92,90,3.36
19,Fortuna,US,2020-11-23 21:33:14,40.6,-124.16,55.99,76,75,8.05
20,Hearst,CA,2020-11-23 21:42:34,49.68,-83.67,8.6,78,96,3.36
21,Port Hawkesbury,CA,2020-11-23 21:33:47,45.62,-61.35,46.0,93,90,18.34
22,Vila Velha,BR,2020-11-23 21:41:31,-20.33,-40.29,75.2,78,40,4.7
23,Provideniya,RU,2020-11-23 21:32:58,64.38,-173.3,26.6,86,75,6.71
24,Haines Junction,CA,2020-11-23 21:42:34,60.75,-137.51,8.6,84,100,2.86
25,Ushuaia,AR,2020-11-23 21:32:50,-54.8,-68.3,46.4,61,40,36.91
26,Tongliao,CN,2020-11-23 21:42:35,43.61,122.27,13.62,92,9,6.49
27,Leningradskiy,RU,2020-11-23 21:33:07,69.38,178.42,19.89,96,100,3.04
28,Sugod,PH,2020-11-23 21:42:35,12.99,124.08,79.95,81,100,17.81
29,Saskylakh,RU,2020-11-23 21:33:08,71.92,114.08,3.25,93,81,5.46
30,Faya,SA,2020-11-23 21:42:35,18.39,42.45,57.2,82,0,0.83
31,Hanyang,CN,2020-11-23 21:42:35,32.14,105.51,46.99,68,99,0.98
32,Ketchikan,US,2020-11-23 21:42:35,55.34,-131.65,37.4,100,90,28.86
33,Ilulissat,GL,2020-11-23 21:32:43,69.22,-51.1,17.6,57,96,20.8
34,Kruisfontein,ZA,2020-11-23 21:33:26,-34.0,24.73,62.01,82,100,1.99
35,Kalaleh,IR,2020-11-23 21:42:36,37.38,55.49,44.6,87,90,11.41
36,Punta Arenas,CL,2020-11-23 21:32:06,-53.15,-70.92,51.8,57,40,17.22
37,Pedernales,DO,2020-11-23 21:42:36,18.04,-71.74,82.4,83,40,11.41
38,Cedar City,US,2020-11-23 21:42:36,37.68,-113.06,48.2,34,90,11.41
39,Kloulklubed,PW,2020-11-23 21:42:36,7.04,134.26,82.65,72,71,2.37
40,Severo-Kurilsk,RU,2020-11-23 21:32:55,50.68,156.12,30.31,91,88,22.82
41,Castro,BR,2020-11-23 21:33:15,-24.79,-50.01,63.91,71,0,6.26
42,Iquique,CL,2020-11-23 21:39:27,-20.22,-70.14,66.2,63,0,19.46
43,Touros,BR,2020-11-23 21:33:00,-5.2,-35.46,78.8,83,40,6.93
44,Jamestown,US,2020-11-23 21:32:53,42.1,-79.24,37.99,93,90,10.29
45,Kulgam,IN,2020-11-23 21:42:37,33.65,75.02,38.37,83,100,0.45
46,Santa Cruz,BO,2020-11-23 21:29:05,-17.8,-63.17,95.0,39,0,13.87
47,Cherskiy,RU,2020-11-23 21:33:06,68.75,161.3,-0.13,93,94,4.7
48,Yellowknife,CA,2020-11-23 21:33:23,62.46,-114.35,9.0,92,90,13.87
49,Dormidontovka,RU,2020-11-23 21:42:37,47.77,134.91,15.12,94,0,13.98
50,Saldanha,ZA,2020-11-23 21:32:46,-33.01,17.94,62.6,67,82,5.82
51,Ugoofaaru,MV,2020-11-23 21:42:37,5.67,73.0,81.79,74,44,9.64
52,Hasaki,JP,2020-11-23 21:30:31,35.73,140.83,50.0,76,75,5.82
53,Clyde River,CA,2020-11-23 21:32:58,70.47,-68.59,6.8,92,90,28.86
54,Micheweni,TZ,2020-11-23 21:42:38,-4.97,39.83,78.73,80,10,5.44
55,Hilo,US,2020-11-23 21:33:11,19.73,-155.09,75.2,88,90,9.17
56,Butaritari,KI,2020-11-23 21:32:49,3.07,172.79,81.64,75,69,10.2
57,Bluff,NZ,2020-11-23 21:32:51,-46.6,168.33,55.0,86,44,1.01
58,Saint George,US,2020-11-23 21:32:01,37.1,-113.58,53.6,27,1,8.88
59,Tateyama,JP,2020-11-23 21:42:38,34.98,139.87,54.0,46,75,18.34
60,Carutapera,BR,2020-11-23 21:42:38,-1.2,-46.02,76.15,92,100,3.94
61,Bethel,US,2020-11-23 21:28:10,41.37,-73.41,44.01,52,20,11.41
62,Hobart,AU,2020-11-23 21:28:47,-42.88,147.33,57.2,67,75,8.05
63,Makat,KZ,2020-11-23 21:42:39,47.65,53.35,30.43,94,100,8.7
64,Cumra,TR,2020-11-23 21:42:39,37.57,32.77,28.4,86,0,1.25
65,Guerrero Negro,MX,2020-11-23 21:42:39,27.98,-114.06,69.35,62,25,13.22
66,Deputatskiy,RU,2020-11-23 21:42:39,69.3,139.9,-8.36,91,100,7.38
67,Port Alfred,ZA,2020-11-23 21:33:04,-33.59,26.89,66.13,79,95,12.35
68,Inirida,CO,2020-11-23 21:42:39,3.87,-67.92,80.22,88,56,3.69
69,Kununurra,AU,2020-11-23 21:33:13,-15.77,128.73,78.8,94,99,1.12
70,Presidente Olegario,BR,2020-11-23 21:42:40,-18.42,-46.42,71.01,100,35,4.0
71,Samarai,PG,2020-11-23 21:33:23,-10.62,150.67,82.22,78,17,12.01
72,Puerto Ayora,EC,2020-11-23 21:32:55,-0.74,-90.35,77.0,73,75,13.87
73,Ekibastuz,KZ,2020-11-23 21:42:40,51.67,75.37,15.01,97,100,3.04
74,Cabo San Lucas,MX,2020-11-23 21:30:37,22.89,-109.91,84.99,54,5,9.17
75,Taguatinga,BR,2020-11-23 21:42:40,-12.39,-46.57,76.73,78,100,5.64
76,High Level,CA,2020-11-23 21:42:40,58.52,-117.14,3.2,91,75,3.36
77,Norman Wells,CA,2020-11-23 21:33:21,65.28,-126.83,6.8,77,20,8.05
78,Sisimiut,GL,2020-11-23 21:33:33,66.94,-53.67,18.07,88,100,20.8
79,South Lake Tahoe,US,2020-11-23 21:42:40,38.93,-119.98,51.8,42,1,4.7
80,Georgetown,MY,2020-11-23 21:28:11,5.41,100.34,78.01,88,20,3.36
